corp_id,corp_name,typ,address,county,coords,NAME
3460,Taylor Community School Corporation,School Corporation,"3750 E CR 300 S, Kokomo, IN, 46902",Howard,"c(-86.0551143, 40.4346825)",Taylor Community School Corporation
3470,Northwestern School Corporation,School Corporation,"3075 N Washington St, Kokomo, IN, 46901",Howard,"c(-86.1283246, 40.5212211)",Northwestern School Corporation
3480,Eastern Howard School Corporation,School Corporation,"221 W Main Suite One, Greentown, IN, 46936",Howard,"c(-85.9687585, 40.4776822)",Eastern Howard School Corporation
3490,Western School Corporation,School Corporation,"2600 S 600 W, Russiaville, IN, 46979",Howard,"c(-86.2433462, 40.4372676)",Western School Corporation
3500,Kokomo School Corporation,School Corporation,"1500 S Washington PO Box 2188, Kokomo, IN, 46904",Howard,"c(-86.1327501, 40.4688951)",Kokomo-Center Township Consolidated School Corporation
3625,Huntington County Community School Corporation,School Corporation,"1063 E 900 S, Warren, IN, 46792",Huntington,"c(-85.427556, 40.695733)",Huntington County Community School Corporation
3640,Medora Community School Corporation,School Corporation,"PO Box 369, Medora, IN, 47260",Jackson,"c(-86.1955169, 38.8215176)",Medora Community School Corporation
3675,Seymour Community Schools,School Corporation,"1420 Corporate Way, Seymour, IN, 47274",Jackson,"c(-85.909929, 38.9485714)",Seymour Community Schools
3695,Brownstown Central Community School Corporation,School Corporation,"608 W Commerce St, Brownstown, IN, 47220",Jackson,"c(-86.0494652, 38.878108)",Brownstown Central Community School Corporation
3710,Crothersville Community Schools,School Corporation,"201 S Preston St, Crothersville, IN, 47229",Jackson,"c(-85.8360541, 38.7963604)",Crothersville Community Schools
3785,Kankakee Valley School Corporation,School Corporation,"PO Box 278, Wheatfield, IN, 46392",Jasper,"c(-87.1023746, 41.2043542)",Kankakee Valley School Corporation
3815,Rensselaer Central School Corporation,School Corporation,"900 E Washington St, Rensselaer, IN, 47978",Jasper,"c(-87.1405929, 40.9385132)",Rensselaer Central School Corporation
3945,Jay School Corporation,School Corporation,"1976 W Tyson Rd, Portland, IN, 47371",Jay,"c(-85.0056064, 40.4323188)",Jay School Corporation
3995,Madison Consolidated Schools,School Corporation,"2421 Wilson Ave, Madison, IN, 47250",Jefferson,"c(-85.4069225, 38.7726834)",Madison Consolidated Schools
4000,Southwestern-Jefferson County Consolidated,School Corporation,"239 S Main Cross St, Hanover, IN, 47243",Jefferson,"c(-85.4735702, 38.7078324)",Southwestern Jefferson County Consolidated Schools
4015,Jennings County School Corporation,School Corporation,"34 Main St, North Vernon, IN, 47265",Jennings,"c(-85.684578, 38.9914998)",Jennings County Schools
4145,Clark-Pleasant Community School Corporation,School Corporation,"50 Center St, Whiteland, IN, 46184",Johnson,"c(-86.0805654, 39.5507448)",Clark-Pleasant Community School Corporation
4205,Center Grove Community School Corporation,School Corporation,"4800 W Stones Crossing Rd, Greenwood, IN, 46143",Johnson,"c(-86.1905516, 39.5779146)",Center Grove Community School Corporation
4215,Edinburgh Community School Corporation,School Corporation,"202 S Keeley St, Edinburgh, IN, 46124",Johnson,"c(-85.9699743, 39.3529052)",Edinburgh Community School Corporation
4225,Franklin Community School Corporation,School Corporation,"998 Grizzly Cub Dr, Franklin, IN, 46131",Johnson,"c(-86.063427, 39.4903895)",Franklin Community School Corporation
4245,Greenwood Community School Corporation,School Corporation,"605 W Smith Valley Rd, Greenwood, IN, 46142",Johnson,"c(-86.1164736, 39.6056678)",Greenwood Community School Corporation
4255,Nineveh-Hensley-Jackson United,School Corporation,"802 S Indian Creek Dr, Trafalgar, IN, 46181",Johnson,"c(-86.1586123, 39.4097109)",Nineveh-Hensley-Jackson United School Corporation
4315,North Knox School Corporation,School Corporation,"11110 N SR 159, Bicknell, IN, 47512",Knox,"c(-87.30964, 38.7910527)",North Knox School Corporation
4325,South Knox School Corporation,School Corporation,"6116 E SR 61, Vincennes, IN, 47591",Knox,"c(-87.4236546, 38.6364312)",South Knox School Corporation
4335,Vincennes Community School Corporation,School Corporation,"1712 S Quail Run Road, Vincennes, IN, 47591",Knox,"c(-87.4957085, 38.6507891)",Vincennes Community School Corporation
4345,Wawasee Community School Corporation,School Corporation,"801 S Sycamore St, Syracuse, IN, 46567",Kosciusko,"c(-85.7494001, 41.4139526)",Wawasee Community School Corporation
4415,Warsaw Community Schools,School Corporation,"PO Box 288, Warsaw, IN, 46581",Kosciusko,"c(-85.80766, 41.2448875)",Warsaw Community Schools
4445,Tippecanoe Valley School Corporation,School Corporation,"8343 S SR 19, Akron, IN, 46910",Kosciusko,"c(-86.0387963, 41.1111561)",Tippecanoe Valley School Corporation
4455,Whitko Community School Corporation,School Corporation,"710 N SR 5, Suite B, Larwill, IN, 46764",Whitley,"c(-85.643487, 41.1585232)",Whitko Community School Corporation
4515,Prairie Heights Community School Corporation,School Corporation,"0305 S 1150 E, LaGrange, IN, 46761",Lagrange,"c(-85.2008972, 41.6388854)",Prairie Heights Community School Corporation
4525,Westview School Corporation,School Corporation,"1545 S 600 W, Topeka, IN, 46571",Lagrange,"c(-85.5397301, 41.6173213)",Westview School Corporation
4535,Lakeland School Corporation,School Corporation,"0825 E 075 N, LaGrange, IN, 46761",Lagrange,"c(-85.4089215, 41.6542855)",Lakeland School Corporation
4580,Hanover Community School Corporation,School Corporation,"PO Box 645, Cedar Lake, IN, 46303",Lake,"c(-87.4802068, 41.3937315)",Hanover Community School Corporation
4590,River Forest Community School Corporation,School Corporation,"3250 Michigan St, Hobart, IN, 46342",Lake,"c(-87.2750062, 41.5585442)",River Forest Community School Corporation
4600,Merrillville Community School Corporation,School Corporation,"6701 Delaware St, Merrillville, IN, 46410",Lake,"c(-87.330302, 41.4966412)",Merrillville Community School
4615,Lake Central School Corporation,School Corporation,"8260 Wicker Ave, Saint John, IN, 46373",Lake,"c(-87.4726808, 41.4669846)",Lake Central School Corporation
4645,Tri-Creek School Corporation,School Corporation,"19290 Cline Avenue, Lowell, IN, 46356",Lake,"c(-87.4294058, 41.2170965)",Tri-Creek School Corporation
4650,Lake Ridge New Technology Schools,School Corporation,"6111 W Ridge Rd, Gary, IN, 46408",Lake,"c(-87.411893, 41.5487228)",Lake Ridge Schools
4660,Crown Point Community School Corporation,School Corporation,"200 E North St, Crown Point, IN, 46307",Lake,"c(-87.3626769, 41.4206147)",Crown Point Community School Corporation
4670,School City of East Chicago,School Corporation,"1401 E 144th Street, East Chicago, IN, 46312",Lake,"c(-87.4532462, 41.6330037)",City of East Chicago School District
4680,Lake Station Community Schools,School Corporation,"2500 Pike St, Lake Station, IN, 46405",Lake,"c(-87.2447721, 41.5726247)",Lake Station Community Schools
4690,Gary Community School Corporation,School Corporation,"PO Box 4608, Gary, IN, 46404",Lake,"c(-87.3512913, 41.6007075)",Gary Community School Corporation
4700,Griffith Public Schools,School Corporation,"601 N Raymond, Griffith, IN, 46319",Lake,"c(-87.4345849, 41.5320369)",Griffith Public Schools
4710,School City of Hammond,School Corporation,"41 Williams Street, Hammond, IN, 46320",Lake,"c(-87.5242432, 41.6113681)",Hammond School City
4720,School Town of Highland,School Corporation,"9145 Kennedy Ave, Highland, IN, 46322",Lake,"c(-87.4608613, 41.5468806)",Highland School Town
4730,School City of Hobart,School Corporation,"32 E 7th St, Hobart, IN, 46342",Lake,"c(-87.2583105, 41.5275117)",Hobart School City
4740,School Town of Munster,School Corporation,"8616 Columbia Ave, Munster, IN, 46321",Lake,"c(-87.5016443, 41.5582966)",Munster School Town
4760,School City of Whiting,School Corporation,"1500 Center St, Whiting, IN, 46394",Lake,"c(-87.4904953, 41.6814583)",Whiting School City
4805,New Prairie United School Corporation,School Corporation,"5327 N Cougar Rd, New Carlisle, IN, 46552",LaPorte,"c(-86.5639615, 41.6830983)",New Prairie United School Corporation
4860,Metropolitan School District of New Durham Township,School Corporation,"207 E Valparaiso St, Westville, IN, 46391",LaPorte,"c(-86.8938787, 41.5420097)",New Durham Township Metropolitan School District
4915,Tri-Township Consolidated School Corporation,School Corporation,"PO Box 249, Wanatah, IN, 46390",LaPorte,"c(-86.8621827, 41.3585564)",Tri-Township Consolidated School Corporation
4925,Michigan City Area Schools,School Corporation,"408 S Carroll Ave, Michigan City, IN, 46360",LaPorte,"c(-86.8684232, 41.7059889)",Michigan City Area Schools
4940,South Central Community School Corporation,School Corporation,"9808 S 600 W, Union Mills, IN, 46382",LaPorte,"c(-86.816215, 41.464207)",South Central Community School Corporation
4945,LaPorte Community School Corporation,School Corporation,"1921 'A' St, LaPorte, IN, 46350",LaPorte,"c(-86.7186185, 41.5889814)",La Porte Community School Corporation
5075,North Lawrence Community Schools,School Corporation,"PO Box 729, Bedford, IN, 47421",Lawrence,"c(-86.4592091, 38.8924224)",North Lawrence Community Schools
5085,Mitchell Community Schools,School Corporation,"441 N 8th St, Mitchell, IN, 47446",Lawrence,"c(-86.4767183, 38.7360176)",Mitchell Community Schools
5245,Frankton-Lapel Community Schools,School Corporation,"7916 W 300 N, Anderson, IN, 46011",Madison,"c(-85.8231239, 40.1497456)",Frankton-Lapel Community Schools
5255,South Madison Community School Corporation,School Corporation,"203 S Heritage Way, Pendleton, IN, 46064",Madison,"c(-85.7638416, 40.0007336)",South Madison Community School Corporation
5265,Alexandria Community School Corporation,School Corporation,"800 N. Central, Alexandria, IN, 46001",Madison,"c(-85.6815225, 40.2696425)",Alexandria Community School Corporation
5275,Anderson Community School Corporation,School Corporation,"1600 Hillcrest Ave, Anderson, IN, 46011",Madison,"c(-85.6984491, 40.1264238)",Anderson Community School Corporation
5280,Elwood Community School Corporation,School Corporation,"1306 N Anderson St, Elwood, IN, 46036",Madison,"c(-85.8427141, 40.2918686)",Elwood Community School Corporation
5300,Metropolitan School District Decatur Township,School Corporation,"5275 Kentucky Ave, Indianapolis, IN, 46221",Marion,"c(-86.2770749, 39.686445)",Decatur Township Metropolitan School District
5310,Franklin Township Community School Corporation,School Corporation,"6141 S Franklin Rd, Indianapolis, IN, 46259",Marion,"c(-86.0181253, 39.6782549)",Franklin Township Community School Corporation
5330,Metropolitan School District Lawrence Township,School Corporation,"6501 Sunnyside Rd, Indianapolis, IN, 46236",Marion,"c(-85.971256, 39.8775748)",Lawrence Township Metropolitan School District
5340,Perry Township Schools,School Corporation,"6548 Orinoco Ave, Indianapolis, IN, 46227",Marion,"c(-86.136058, 39.6710606)",Perry Township Metropolitan School District
5350,Metropolitan School District Pike Township,School Corporation,"6901 Zionsville Rd, Indianapolis, IN, 46268",Marion,"c(-86.2591214, 39.878646)",Pike Township Metropolitan School District
5360,Metropolitan School District Warren Township,School Corporation,"975 N Post Rd, Indianapolis, IN, 46219",Marion,"c(-86.0086465, 39.7815456)",Warren Township Metropolitan School District
5370,Metropolitan School District Washington Township,School Corporation,"8550 Woodfield Crossing Blvd, Indianapolis, IN, 46240",Marion,"c(-86.1244808, 39.9119226)",Washington Township Metropolitan School District
5375,Metropolitan School District Wayne Township,School Corporation,"1220 S High Sch Rd, Indianapolis, IN, 46241",Marion,"c(-86.2666463, 39.767184)",Wayne Township Metropolitan School District
5380,Beech Grove City Schools,School Corporation,"5334 Hornet Ave, Beech Grove, IN, 46107",Marion,"c(-86.0766849, 39.7127396)",Beech Grove City Schools
5385,Indianapolis Public Schools,School Corporation,"120 E Walnut St, Indianapolis, IN, 46204",Marion,"c(-86.1545603, 39.7769924)",Indianapolis Public Schools
5400,School Town of Speedway,School Corporation,"5300 Crawfordsville Rd, Speedway, IN, 46224",Marion,"c(-86.2515138, 39.7926132)",Speedway School Town
5455,Culver Community Schools Corporation,School Corporation,"700 School Street, Culver, IN, 46511",Marshall,"c(-86.4238357, 41.2228909)",Culver Community Schools Corporation
5470,Argos Community Schools,School Corporation,"500 Yearick Ave, Argos, IN, 46501",Marshall,"c(-86.2485037, 41.2376393)",Argos Community Schools
5480,Bremen Public Schools,School Corporation,"512 W Grant St, Bremen, IN, 46506",Marshall,"c(-86.1519845, 41.4429108)",Bremen Public Schools
5485,Plymouth Community School Corporation,School Corporation,"611 Berkley St, Plymouth, IN, 46563",Marshall,"c(-86.3020376, 41.3461273)",Plymouth Community School Corporation
5495,Triton School Corporation,School Corporation,"100 Triton Dr, Bourbon, IN, 46504",Marshall,"c(-86.1112827, 41.3010524)",Triton School Corporation
5520,Shoals Community School Corporation,School Corporation,"11741 Ironton Rd, Shoals, IN, 47581",Martin,"c(-86.7768572, 38.6681)",Shoals Community School Corporation
5525,Loogootee Community School Corporation,School Corporation,"P O Box 282, Loogootee, IN, 47553",Martin,"c(-86.8621827, 38.8203753)",Loogootee Community School Corporation
5615,Maconaquah School Corporation,School Corporation,"7932 S Strawtown Pike, Bunker Hill, IN, 46914",Miami,"c(-86.059771, 40.6511411)",Maconaquah School Corporation
5620,North Miami Community Schools,School Corporation,"394 E 900 N, Denver, IN, 46926",Miami,"c(-86.0682605, 40.8958123)",North Miami Community Schools
5625,Oak Hill United School Corporation,School Corporation,"1474 N 800 W, PO Box 550, Converse, IN, 46919",Grant,"c(-85.825373, 40.5732061)",Oak Hill United School Corporation
5635,Peru Community Schools,School Corporation,"35 W 3rd St, Peru, IN, 46970",Miami,"c(-86.0693488, 40.7522667)",Peru Community Schools
5705,Richland-Bean Blossom Community School Corporation,School Corporation,"600 S Edgewood Dr, Ellettsville, IN, 47429",Monroe,"c(-86.633711, 39.2361338)",Richland-Bean Blossom Community School Corporation
5740,Monroe County Community School Corporation,School Corporation,"315 E North Dr, Bloomington, IN, 47401",Monroe,"c(-86.5305985, 39.1449503)",Monroe County Community School Corporation
5835,North Montgomery Community School Corporation,School Corporation,"480 W 580 N, Crawfordsville, IN, 47933",Montgomery,"c(-86.9131124, 40.1236215)",North Montgomery Community School Corporation
5845,South Montgomery Community School Corporation,School Corporation,"PO Box 8, New Market, IN, 47965",Montgomery,"c(-86.7818523, 39.9777608)",South Montgomery Community School Corporation
5855,Crawfordsville Community Schools,School Corporation,"1000 Fairview Ave, Crawfordsville, IN, 47933",Montgomery,"c(-86.8882403, 40.0456096)",Crawfordsville Community Schools
5900,Monroe-Gregg School District,School Corporation,"135 S Chestnut St, Monrovia, IN, 46157",Morgan,"c(-86.4776288, 39.5760431)",Monroe-Gregg School District
5910,Eminence Community School Corporation,School Corporation,"PO Box 135, Eminence, IN, 46125",Morgan,"c(-86.6006249, 39.4989766)",Eminence Community School Corporation
5925,Metropolitan School District Martinsville Schools,School Corporation,"PO Box 1416, Martinsville, IN, 46151",Morgan,"c(-86.4592091, 39.3913252)",Martinsville Schools Metropolitan School District
5930,Mooresville Consolidated School Corporation,School Corporation,"11 W Carlisle St, Mooresville, IN, 46158",Morgan,"c(-86.3799428, 39.6170144)",Mooresville Consolidated School Corporation
5945,North Newton School Corporation,School Corporation,"PO Box 8, Morocco, IN, 47963",Newton,"c(-87.4207518, 41.0509537)",North Newton School Corporation
5995,South Newton School Corporation,School Corporation,"13232 S 50 E, Kentland, IN, 47951",Newton,"c(-87.3829344, 40.8059927)",South Newton School Corporation
6055,Central Noble Community School Corporation,School Corporation,"200 E Main St, Albion, IN, 46701",Noble,"c(-85.4223393, 41.3954086)",Central Noble Community School Corporation
6060,East Noble School Corporation,School Corporation,"126 W Rush St, Kendallville, IN, 46755",Noble,"c(-85.266279, 41.441375)",East Noble School Corporation
6065,West Noble School Corporation,School Corporation,"5050 N US 33, Ligonier, IN, 46767",Noble,"c(-85.5816829, 41.4259194)",West Noble School Corporation
6080,Rising Sun-Ohio County Community,School Corporation,"110 S Henrietta St, Rising Sun, IN, 47040",Ohio,"c(-84.8589914, 38.9506064)",Rising Sun-Ohio County Community Schools
6145,Orleans Community Schools,School Corporation,"173 W Marley St, Orleans, IN, 47452",Orange,"c(-86.4545279, 38.6687848)",Orleans Community Schools
6155,Paoli Community School Corporation,School Corporation,"501 Elm St - Ofc Supt, Paoli, IN, 47454",Orange,"c(-86.47701, 38.5497709)",Paoli Community School Corporation
6160,Springs Valley Community School Corporation,School Corporation,"498 S Larry Bird Blvd, French Lick, IN, 47432",Orange,"c(-86.6169637, 38.5489744)",Springs Valley Community School Corporation
6195,Spencer-Owen Community Schools,School Corporation,"205 E Hillside, Spencer, IN, 47460",Owen,"c(-86.7603009, 39.2899403)",Spencer-Owen Community Schools
6260,Southwest Parke Community School Corporation,School Corporation,"4851 S Coxville Rd, Montezuma, IN, 47862",Parke,"c(-87.324697, 39.698077)",Southwest Parke Community School Corporation
6325,Perry Central Community Schools Corporation,School Corporation,"18677 Old SR 37, Leopold, IN, 47551",Perry,"c(-86.60415, 38.111347)",Perry Central Community School Corporation
6340,Cannelton City Schools,School Corporation,"109 S Third St, Cannelton, IN, 47520",Perry,"c(-86.7438865, 37.9102913)",Cannelton City Schools
6350,Tell City-Troy Township School Corporation,School Corporation,"837 17th St, Tell City, IN, 47586",Perry,"c(-86.7215175, 37.9541186)",Tell City-Troy Township School Corporation
6375,North Central Parke Comm School Corporation,School Corporation,"602 Howard Ave, Rockville, IN, 47872",Parke,"c(-87.2341978, 39.7679216)",North Central Parke Community School Corporation
6445,Pike County School Corporation,School Corporation,"211 South 12th St, Petersburg, IN, 47567",Pike,"c(-87.2772225, 38.4918217)",Pike County School Corporation
6460,Metropolitan School District Boone Township,School Corporation,"307 S Main St, Hebron, IN, 46341",Porter,"c(-87.1977404, 41.316463)",Boone Township Metropolitan School District
6470,Duneland School Corporation,School Corporation,"601 W Morgan Ave, Chesterton, IN, 46304",Porter,"c(-87.059963, 41.6087847)",Duneland School Corporation
6510,East Porter County School Corporation,School Corporation,"502 E College Ave - PO Box 370, Kouts, IN, 46347",Porter,"c(-87.0306651, 41.3148356)",East Porter County School Corporation
6520,Porter Township School Corporation,School Corporation,"248 S 500 W, Valparaiso, IN, 46385",Porter,"c(-87.1620456, 41.3986726)",Porter Township School Corporation
6530,Union Township School Corporation,School Corporation,"599 W 300 N Suite A, Valparaiso, IN, 46385",Porter,"c(-87.1471679, 41.506501)",Union Township School Corporation
6550,Portage Township Schools,School Corporation,"6240 US Hwy 6, Portage, IN, 46368",Porter,"c(-87.1723984, 41.5516742)",Portage Township Schools
6560,Valparaiso Community Schools,School Corporation,"3801 N Campbell St, Valparaiso, IN, 46385",Porter,"c(-87.0672163, 41.5021938)",Valparaiso Community Schools
6590,Metropolitan School District Mount Vernon,School Corporation,"1000 W 4th St, Mount Vernon, IN, 47620",Posey,"c(-87.906771, 37.9290206)",Mount Vernon Metropolitan School District
6600,Metropolitan School District North Posey County Schools,School Corporation,"101 N Church St, Poseyville, IN, 47633",Posey,"c(-87.7847782, 38.1725346)",North Posey County Schools Metropolitan School District
6620,Eastern Pulaski Community School Corporation,School Corporation,"711 School Dr, Winamac, IN, 46996",Pulaski,"c(-86.5975057, 41.0462349)",Eastern Pulaski Community School Corporation
6630,West Central School Corporation,School Corporation,"PO Box 578, Francesville, IN, 47946",Pulaski,"c(-86.8621827, 41.037141)",West Central School Corporation
6705,South Putnam Community Schools,School Corporation,"3999 S US Hwy 231, Greencastle, IN, 46135",Putnam,"c(-86.8326309, 39.6026821)",Greencastle Community School Corporation
6715,North Putnam Community Schools,School Corporation,"PO Box 169-300 N Washington, Bainbridge, IN, 46105",Putnam,"c(-86.812242, 39.7633013)",North Putnam Community Schools
6750,Cloverdale Community Schools,School Corporation,"310 E Logan, Cloverdale, IN, 46120",Putnam,"c(-86.7818523, 39.483443)",Cloverdale Community Schools
6755,Greencastle Community School Corporation,School Corporation,"1002 Mill Pond Lane, Greencastle, IN, 46135",Putnam,"c(-86.8403556, 39.6403188)",Greencastle Community School Corporation
